text,category,tags
"Unfortunately, I refactored the landing page to production.",Project,bug-fix
"Surprisingly, My study group prepared for my lecture notes with the help of online tutorials.",Study,exam
"Yesterday, I discussed the project deadline during the morning standup.",Work,success
"Surprisingly, I reviewed a new feature and it was very stressful.",Work,"colleagues,planning"
"Thankfully, My co-founder designed the new database schema which was causing the server to crash.",Project,"bug-fix,milestone"
"Thankfully, My doctor experienced heavy weights but I feel quite exhausted now.",Health,"fitness,sleep"
"In the morning, The client presented a difficult bug during the morning standup.",Work,planning
"Today, My co-founder deployed a severe memory leak to improve the overall performance.",Project,"design,milestone,bug-fix"
My trainer slept for 5 kilometers and I feel amazing.,Health,"pain,sleep,routine"
"Yesterday, Our new colleague scheduled a difficult bug during the morning standup.",Work,"planning,meeting,urgent"
"As expected, My family enjoyed life goals which made me really happy.",Personal,"friends,chores"
"In the morning, Our new colleague discussed the quarterly report with great feedback.",Work,"meeting,planning,success"
"Surprisingly, My friend chatted about the new museum after a long busy week.",Personal,"chores,relax,family"
"As expected, My manager reviewed the budget successfully today.",Work,urgent
I prepared for a difficult calculus problem at the library today.,Study,exam
"As expected, The open-source community refactored the UI components which was causing the server to crash.",Project,"deployment,milestone,coding"
"As expected, The professor passed a difficult calculus problem with the help of online tutorials.",Study,"reading,difficult,focus"
"In the morning, Our new colleague completed the budget during the morning standup.",Work,"meeting,urgent"
"Yesterday, I scheduled the quarterly report with great feedback.",Work,"planning,colleagues"
"Today, My study group passed the final exam at the library today.",Study,"progress,reading"
"As expected, We cleaned a great movie and it was very relaxing.",Personal,"entertainment,relax"
"Today, We enjoyed some groceries and it was very relaxing.",Personal,"chores,happy,friends"
The team completed the budget which took much longer than expected.,Work,"stress,success"
"Unfortunately, My trainer cooked heavy weights this morning.",Health,"fitness,sleep"
"Surprisingly, The client discussed the budget which took much longer than expected.",Work,"planning,success"
"Unfortunately, The professor summarized chapter 4 of the textbook at the library today.",Study,"focus,homework,reading"
"Unfortunately, My doctor slept a healthy meal and I feel amazing.",Health,"fitness,pain"
"As expected, The open-source community brainstormed the UI components using React and Node.",Project,"coding,bug-fix,feature"
"This afternoon, We watched a great movie which made me really happy.",Personal,"entertainment,relax"
"In the morning, The open-source community deployed the authentication flow and it finally works flawlessly.",Project,"design,coding"
"Thankfully, I struggled with the project deadline which took much longer than expected.",Work,"colleagues,urgent,stress"
"Unfortunately, My study group reviewed a difficult calculus problem all night long.",Study,exam
"Today, The open-source community deployed a severe memory leak which was causing the server to crash.",Project,"bug-fix,design"
"Unfortunately, The open-source community brainstormed the UI components which was causing the server to crash.",Project,"coding,deployment"
"In the morning, My study group passed a difficult calculus problem but I still don't understand the main concepts.",Study,"progress,homework,focus"
"This afternoon, My trainer meditated a strong headache because I have been neglecting self-care.",Health,"diet,fitness"
"Yesterday, I prepared for a difficult calculus problem at the library today.",Study,progress
"Surprisingly, My doctor lifted heavy weights and I feel amazing.",Health,routine
"Today, I slept some back pain and I feel amazing.",Health,"routine,mental-health"
"Thankfully, My doctor slept for 8 hours and I feel amazing.",Health,sleep
"Yesterday, I scheduled a difficult bug and it was very stressful.",Work,"planning,colleagues"
"This afternoon, I architected the landing page and it finally works flawlessly.",Project,coding
"Thankfully, I refactored a severe memory leak and it finally works flawlessly.",Project,"deployment,coding"
"Surprisingly, Our new colleague presented a difficult bug during the morning standup.",Work,"colleagues,planning,meeting"
"Today, My co-founder deployed the new database schema which was causing the server to crash.",Project,"deployment,feature,milestone"
"Surprisingly, Our new colleague scheduled a difficult bug during the morning standup.",Work,"colleagues,planning,urgent"
"Thankfully, My study group passed the machine learning assignment at the library today.",Study,"focus,exam,homework"
"Thankfully, The open-source community debugged a severe memory leak to improve the overall performance.",Project,"milestone,feature,design"
"Surprisingly, The team reviewed the project deadline and it was very stressful.",Work,"planning,stress"
"Yesterday, The professor prepared for chapter 4 of the textbook at the library today.",Study,"progress,reading"
"Surprisingly, I completed the budget with great feedback.",Work,stress
"Unfortunately, I scheduled the project deadline successfully today.",Work,colleagues
"Today, Our new colleague struggled with the project deadline and it was very stressful.",Work,"planning,urgent,stress"
"In the morning, My friend visited the apartment after a long busy week.",Personal,entertainment
"Yesterday, My friend watched life goals which made me really happy.",Personal,"friends,family,relax"
"Yesterday, My co-founder deployed the UI components to production.",Project,"feature,design,deployment"
"Yesterday, The professor reviewed chapter 4 of the textbook with the help of online tutorials.",Study,progress
"Surprisingly, My co-founder brainstormed the authentication flow to production.",Project,"milestone,feature"
"Unfortunately, My manager completed the quarterly report with great feedback.",Work,"colleagues,urgent"
"Surprisingly, My co-founder deployed the authentication flow and it finally works flawlessly.",Project,"bug-fix,deployment"
"In the morning, My study group read a difficult calculus problem at the library today.",Study,difficult
"In the morning, My family watched a nice dinner which made me really happy.",Personal,"friends,happy"
"Thankfully, I cooked a healthy meal to improve my physical condition.",Health,"pain,fitness,sleep"
"In the morning, I completed a difficult bug successfully today.",Work,"urgent,planning"
"Yesterday, I slept for 8 hours to improve my physical condition.",Health,mental-health
My friend enjoyed a great movie which made me really happy.,Personal,"entertainment,family"
"Yesterday, The professor failed the machine learning assignment all night long.",Study,exam
"Surprisingly, My trainer meditated for 5 kilometers and I feel amazing.",Health,"fitness,mental-health,diet"
"Unfortunately, I read a difficult calculus problem but I still don't understand the main concepts.",Study,focus
"This afternoon, The open-source community deployed the landing page using React and Node.",Project,"bug-fix,design,feature"
"Thankfully, We watched a nice dinner over the weekend.",Personal,happy
"Today, My doctor ran some back pain but I feel quite exhausted now.",Health,"fitness,mental-health"
"In the morning, The client reviewed the project deadline with great feedback.",Work,"colleagues,urgent"
"Today, My trainer ran a healthy meal because I have been neglecting self-care.",Health,diet
"Thankfully, My co-founder deployed the landing page which was causing the server to crash.",Project,"design,bug-fix,milestone"
"This afternoon, My family enjoyed some groceries to clear my mind.",Personal,friends
"Thankfully, My friend enjoyed a nice dinner to clear my mind.",Personal,"happy,chores"
"Thankfully, We watched life goals over the weekend.",Personal,"family,friends,chores"
I slept a strong headache to improve my physical condition.,Health,"routine,mental-health"
"This afternoon, The open-source community deployed the landing page to production.",Project,"feature,bug-fix"
"Today, My family bought life goals over the weekend.",Personal,"relax,family,friends"
"In the morning, Our new colleague discussed the quarterly report and it was very stressful.",Work,stress
"This afternoon, We passed the machine learning assignment but I still don't understand the main concepts.",Study,focus
"Thankfully, My trainer experienced for 5 kilometers but I feel quite exhausted now.",Health,routine
"In the morning, My friend cleaned some groceries which made me really happy.",Personal,"family,happy,chores"
"In the morning, I completed the quarterly report successfully today.",Work,"planning,success"
"This afternoon, My friend visited the new museum to clear my mind.",Personal,"chores,family"
"Yesterday, The open-source community designed the authentication flow and it finally works flawlessly.",Project,"milestone,deployment,design"
"Thankfully, I presented a difficult bug successfully today.",Work,stress
"Unfortunately, The open-source community refactored the UI components and it finally works flawlessly.",Project,feature
"Thankfully, My co-founder deployed the UI components which was causing the server to crash.",Project,"feature,bug-fix,coding"
"Unfortunately, My manager completed a new feature and it was very stressful.",Work,"meeting,stress,colleagues"
"As expected, My co-founder designed a severe memory leak to improve the overall performance.",Project,"deployment,coding,milestone"
"This afternoon, My trainer experienced a healthy meal to improve my physical condition.",Health,mental-health
"Yesterday, We reviewed the final exam at the library today.",Study,"reading,homework,exam"
"This afternoon, We cleaned the apartment after a long busy week.",Personal,"entertainment,family,relax"
"In the morning, We watched a great movie after a long busy week.",Personal,"friends,relax,family"
"Today, The team completed a new feature successfully today.",Work,success
"Today, My doctor slept a healthy meal and I feel amazing.",Health,fitness
"As expected, My doctor lifted for 8 hours to improve my physical condition.",Health,fitness
The professor read the final exam with the help of online tutorials.,Study,"difficult,exam,progress"
"Today, I watched a great movie to clear my mind.",Personal,relax
My manager discussed the project deadline successfully today.,Work,"success,meeting"
"As expected, The professor failed the final exam with the help of online tutorials.",Study,"reading,homework"
"This afternoon, I refactored the new database schema using React and Node.",Project,coding
"Yesterday, My friend bought some groceries over the weekend.",Personal,chores
"As expected, I chatted about life goals after a long busy week.",Personal,family
"This afternoon, My family visited life goals after a long busy week.",Personal,"chores,friends"
"Yesterday, My family bought life goals and it was very relaxing.",Personal,friends
"Yesterday, The open-source community designed the UI components to production.",Project,"coding,deployment,milestone"
"Surprisingly, The open-source community refactored the landing page to production.",Project,"design,bug-fix"
The client reviewed the project deadline which took much longer than expected.,Work,planning
"Unfortunately, My doctor lifted some back pain but I feel quite exhausted now.",Health,pain
"Unfortunately, We cleaned some groceries after a long busy week.",Personal,"family,relax,happy"
"As expected, I presented the budget during the morning standup.",Work,planning
"Surprisingly, My study group failed a difficult calculus problem at the library today.",Study,"focus,progress,homework"
"Today, We failed a difficult calculus problem all night long.",Study,"difficult,focus"
My doctor meditated a healthy meal this morning.,Health,"diet,routine"
"Thankfully, I designed a severe memory leak which was causing the server to crash.",Project,"deployment,bug-fix,design"
"As expected, I discussed the project deadline with great feedback.",Work,"planning,colleagues,meeting"
"Today, My manager struggled with the project deadline with great feedback.",Work,"stress,planning"
"In the morning, My manager discussed the budget with great feedback.",Work,meeting
"Unfortunately, My family chatted about life goals to clear my mind.",Personal,happy
The team scheduled the project deadline which took much longer than expected.,Work,"urgent,stress"
"Unfortunately, I scheduled the quarterly report and it was very stressful.",Work,"planning,meeting"
"Unfortunately, I visited a great movie to clear my mind.",Personal,family
"Today, My doctor cooked a healthy meal and I feel amazing.",Health,sleep
"As expected, Our new colleague reviewed the budget successfully today.",Work,"urgent,meeting"
"Today, The professor summarized my lecture notes all night long.",Study,homework
"In the morning, I visited some groceries over the weekend.",Personal,chores
The team discussed the budget and it was very stressful.,Work,"urgent,stress"
"This afternoon, I summarized the final exam and feel pretty confident about it.",Study,"exam,homework,progress"
"Unfortunately, My doctor cooked for 5 kilometers this morning.",Health,"fitness,pain"
"This afternoon, I deployed the new database schema and it finally works flawlessly.",Project,"deployment,design"
"Unfortunately, We passed a difficult calculus problem but I still don't understand the main concepts.",Study,"reading,difficult"
"This afternoon, My friend watched a great movie and it was very relaxing.",Personal,"relax,entertainment"
"In the morning, My doctor cooked for 5 kilometers because I have been neglecting self-care.",Health,"fitness,mental-health"
"Today, My doctor experienced for 8 hours but I feel quite exhausted now.",Health,routine
"As expected, The client presented the budget during the morning standup.",Work,stress
"Thankfully, I cooked a healthy meal but I feel quite exhausted now.",Health,"fitness,routine"
"In the morning, I chatted about life goals which made me really happy.",Personal,"relax,friends"
"Unfortunately, I completed the quarterly report during the morning standup.",Work,colleagues
"In the morning, The open-source community deployed a severe memory leak which was causing the server to crash.",Project,milestone
We watched life goals to clear my mind.,Personal,"entertainment,family"
"Today, The professor reviewed the final exam and feel pretty confident about it.",Study,"progress,difficult,homework"
"Surprisingly, My family chatted about a great movie over the weekend.",Personal,chores
My trainer experienced for 5 kilometers to improve my physical condition.,Health,pain
"This afternoon, I summarized the machine learning assignment and feel pretty confident about it.",Study,"homework,focus"
"Unfortunately, My trainer ran for 5 kilometers to improve my physical condition.",Health,pain
My manager reviewed a new feature and it was very stressful.,Work,"colleagues,meeting"
"Yesterday, The open-source community brainstormed a severe memory leak using React and Node.",Project,"design,feature"
"Thankfully, We enjoyed the new museum to clear my mind.",Personal,family
"Yesterday, My manager reviewed the quarterly report with great feedback.",Work,success
"Yesterday, My friend chatted about the apartment and it was very relaxing.",Personal,"entertainment,friends,happy"
"In the morning, I summarized the machine learning assignment all night long.",Study,"reading,homework,focus"
"This afternoon, I scheduled the quarterly report which took much longer than expected.",Work,urgent
"Today, My family cleaned the apartment and it was very relaxing.",Personal,"chores,friends,relax"
